Make,Model,YOM,Mileage,Engine_Size,Fuel_Type,Transmission,Price
Audi,A3,2011,199001,1380,Petrol,Automatic,1100000
Audi,A3,2014,101000,1400,Petrol,Automatic,1680000
Audi,A3,2016,103000,1400,Petrol,Automatic,2465000
Audi,A3,2016,78000,1800,Petrol,Automatic,2465000
Audi,A3,2023,95000,1500,Petrol,Automatic,1885000
Audi,A4,2005,58538,2000,Petrol,Automatic,970000
Audi,A4,2010,296233,1800,Petrol,Automatic,1200000
Audi,A4,2014,142938,2000,Petrol,Automatic,2000000
Audi,A4,2016,127000,2000,Petrol,Automatic,2965000
Audi,A4,2016,98000,2000,Petrol,Automatic,2900000
Audi,A4,2016,96000,2000,Petrol,Automatic,5510000
Audi,A4,2016,85000,2000,Petrol,Automatic,5800000
Audi,A4,2016,60949,2000,Petrol,Automatic,2200000
Audi,A5,2016,100000,2000,Petrol,Automatic,4815000
Audi,A5,2016,58000,2000,Petrol,Automatic,3635000
Audi,A5,2016,49000,2000,Petrol,Automatic,3665000
Audi,A5,2016,84568,2000,Petrol,Automatic,3390000
Audi,A6,2012,127330,1984,Petrol,Automatic,1500000
Audi,A6,2016,132000,3000,Petrol,Automatic,5515000
Audi,A8,2013,20000,2500,Petrol,Automatic,5500000
Audi,Q2,2017,87000,999,Petrol,Automatic,2615000
Audi,Q3,2013,152648,2000,Petrol,Automatic,1950000
Audi,Q3,2016,126000,1400,Petrol,Automatic,3300000
Audi,Q3,2016,59000,1980,Petrol,Automatic,2115000
Audi,Q3,2016,35000,2000,Petrol,Automatic,3815000
Audi,Q3,2016,24000,1500,Petrol,Automatic,2500000
Audi,Q5,2010,179432,2000,Petrol,Automatic,1480000
Audi,Q5,2011,186000,2000,Petrol,Automatic,2000000
Audi,Q5,2011,129000,2000,Petrol,Automatic,2500000
Audi,Q5,2011,67000,3000,Diesel,Automatic,2500000
Audi,Q5,2013,116341,2000,Petrol,Automatic,2900000
Audi,Q5,2014,89408,2000,Diesel,Automatic,3900000
Audi,Q5,2015,88000,2000,Petrol,Automatic,4510000
Audi,Q5,2016,124000,3000,Diesel,Automatic,5015000
Audi,Q5,2016,101000,3000,Diesel,Automatic,4015000
Audi,Q5,2016,97651,2000,Petrol,Automatic,4900000
Audi,Q5,2016,83000,2000,Petrol,Automatic,3480000
Audi,Q5,2016,80000,2000,Petrol,Automatic,4450000
Audi,Q5,2016,80000,2000,Petrol,Automatic,3480000
Audi,Q5,2016,67000,2000,Petrol,Automatic,4215000
Audi,Q5,2016,67000,2000,Petrol,Automatic,3500000
Audi,Q5,2016,62000,2500,Petrol,Automatic,4700000
Audi,Q5,2016,28000,2000,Petrol,Automatic,4400000
Audi,Q5,2017,70000,2000,Petrol,Automatic,4700000
Audi,Q5,2017,45000,2500,Petrol,Automatic,5400000
Audi,Q7,2007,167126,3000,Diesel,Automatic,1800000
Audi,Q7,2015,87000,3000,Diesel,Automatic,6815000
Audi,Q7,2016,153000,3000,Diesel,Automatic,8015000
Audi,Q7,2016,119000,2500,Petrol,Automatic,6500000
Audi,Q7,2016,107000,2995,Diesel,Automatic,6215000
Audi,Q7,2016,101000,3500,Diesel,Automatic,6400000
Audi,Q7,2016,101000,3000,Diesel,Automatic,6715000
Audi,Q7,2016,68000,3000,Diesel,Automatic,7750000
Audi,Q7,2017,131000,3000,Diesel,Automatic,6265000
Audi,Q7,2017,59000,3000,Diesel,Automatic,8015000
Audi,SQ5,2013,155265,2967,Diesel,Automatic,3500000
Audi,SQ5,2016,109000,3000,Petrol,Automatic,5315000
Audi,SQ5,2016,95992,2000,Petrol,Automatic,4100000
Audi,SQ5,2016,75000,3000,Petrol,Automatic,5135000
BMW,116,2010,109000,1400,Petrol,Automatic,900000
BMW,116,2012,186000,1598,Petrol,Automatic,890000
BMW,118,2016,159000,2000,Petrol,Automatic,2515000
BMW,118,2016,33000,1400,Petrol,Automatic,3515000
BMW,120,2016,50000,2000,Petrol,Automatic,2015000
BMW,218,2015,81000,1500,Petrol,Automatic,1965000
BMW,218,2016,85000,1800,Petrol,Automatic,2650000
BMW,3 Series,2009,235931,2000,Petrol,Automatic,1050000
BMW,3 Series,2014,164055,1990,Diesel,Automatic,1990000
BMW,3 Series,2001,213000,2000,Petrol,Automatic,550000
BMW,3 Series,2006,109433,2000,Petrol,Automatic,800000
BMW,3 Series,2012,141861,2400,Petrol,Automatic,1900000
BMW,3 Series,2016,96000,2000,Petrol,Automatic,2465000
BMW,3 Series,2014,46350,2000,Diesel,Automatic,2400000
BMW,3 Series,2014,46000,2000,Diesel,Automatic,2300000
BMW,3 Series,2012,121000,2000,Petrol,Automatic,1500000
BMW,3 Series,2016,72000,2000,Petrol,Automatic,3310000
BMW,3 Series,2014,99000,2000,Petrol,Automatic,3000000
BMW,5 Series,2014,69000,3000,Petrol,Automatic,2640000
BMW,5 Series,2013,96000,2000,Petrol,Automatic,2400000
BMW,5 Series,2005,135146,2300,Petrol,Automatic,900000
BMW,5 Series,2016,90000,2000,Petrol,Automatic,3500000
BMW,5 Series,2016,70000,2000,Petrol,Automatic,3400000
BMW,5 Series,2016,58000,3000,Petrol,Automatic,4190000
BMW,730i,2015,43000,2996,Petrol,Automatic,2351250
BMW,M5,2016,24000,2500,Petrol,Automatic,6450000
BMW,X1,2011,176000,1500,Petrol,Automatic,1415000
BMW,X1,2012,98000,2000,Petrol,Automatic,1365000
BMW,X1,2013,105000,1500,Petrol,Automatic,2015000
BMW,X1,2014,88000,2000,Petrol,Automatic,1750000
BMW,X1,2016,59000,2000,Petrol,Automatic,2865000
BMW,X1,2017,58000,2000,Petrol,Automatic,3815000
BMW,X3,2007,112328,2500,Petrol,Automatic,1000000
BMW,X3,2008,105495,3000,Petrol,Automatic,1150000
BMW,X3,2013,158426,1990,Petrol,Automatic,2650000
BMW,X3,2015,118000,2000,Diesel,Automatic,3850000
BMW,X3,2016,101000,3000,Petrol,Automatic,4515000
BMW,X3,2016,95000,2000,Petrol,Automatic,3515000
BMW,X3,2016,86740,2000,Petrol,Automatic,4850000
BMW,X3,2016,80000,2000,Petrol,Automatic,4510000
BMW,X3,2016,75000,2970,Petrol,Automatic,4815000
BMW,X3,2016,73000,2970,Petrol,Automatic,4865000
BMW,X3,2017,105000,2000,Petrol,Automatic,5514999
BMW,X3,2017,119939,2000,Diesel,Automatic,3300000
BMW,X4,2016,112007,2000,Petrol,Automatic,4450000
BMW,X4,2017,95000,2000,Petrol,Automatic,5500000
BMW,X4,2020,18000,3000,Diesel,Automatic,6430590
BMW,X5,2004,120965,3000,Petrol,Automatic,1000000
BMW,X5,2005,100000,2500,Petrol,Automatic,950000
BMW,X5,2008,124093,3000,Petrol,Automatic,1600000
BMW,X5,2009,152816,3000,Petrol,Automatic,2000000
BMW,X5,2011,106000,3000,Petrol,Automatic,2715000
BMW,X5,2016,79000,3000,Petrol,Automatic,7010000
BMW,X5,2016,69000,2995,Petrol,Automatic,6515000
BMW,X5,2016,63000,3000,Petrol,Automatic,6415000
BMW,X5,2016,59000,2500,Petrol,Automatic,6915000
BMW,X5,2015,102000,3000,Petrol,Automatic,5815000
BMW,X6,2016,133000,4400,Petrol,Automatic,10515000
BMW,X6,2016,95000,3000,Petrol,Automatic,7515000
Daihatsu,Boon,2009,159000,1500,Petrol,Automatic,565000
Daihatsu,Boon,2012,165000,1300,Petrol,Automatic,595000
Daihatsu,Boon,2014,146483,1000,Petrol,Automatic,650000
Daihatsu,Boon,2016,72000,1000,Petrol,Automatic,1045000
Daihatsu,Cast Activa,2016,145000,660,Petrol,Automatic,1000000
Daihatsu,Cast Activa,2016,110000,658,Petrol,Automatic,965000
Daihatsu,Hijet,2013,325045,700,Petrol,Automatic,500000
Daihatsu,Hijet,2014,285061,700,Petrol,Automatic,420000
Daihatsu,Hijet,2015,160000,650,Petrol,Automatic,965000
Daihatsu,Hijet,2016,170000,650,Petrol,Automatic,880000
Daihatsu,Mira,2012,308533,700,Petrol,Automatic,370000
Daihatsu,Mira,2012,298142,700,Petrol,Automatic,325000
Daihatsu,Mira,2013,228000,1000,Petrol,Automatic,415000
Daihatsu,Mira,2014,215840,700,Petrol,Automatic,500000
Daihatsu,Mira,2015,171000,650,Petrol,Automatic,850000
Daihatsu,Mira,2015,121000,660,Petrol,Automatic,427500
Daihatsu,Mira,2015,77000,700,Petrol,Automatic,710000
Daihatsu,Mira,2016,231000,1000,Petrol,Automatic,830000
Daihatsu,Mira,2016,170000,650,Petrol,Automatic,780000
Daihatsu,Mira,2016,157000,658,Petrol,Automatic,765000
Daihatsu,Mira,2016,127000,658,Petrol,Automatic,850000
Daihatsu,Mira,2016,112000,650,Petrol,Automatic,850000
Daihatsu,Mira,2016,112000,650,Petrol,Automatic,845000
Daihatsu,Mira,2016,107000,658,Petrol,Automatic,765000
Daihatsu,Mira,2016,103650,650,Petrol,Automatic,790000
Daihatsu,Mira,2016,96000,650,Petrol,Automatic,765000
Daihatsu,Mira,2016,93000,658,Petrol,Automatic,765000
Daihatsu,Mira,2016,90000,650,Petrol,Automatic,835000
Daihatsu,Mira,2016,78000,658,Petrol,Automatic,800000
Daihatsu,Mira,2016,78000,650,Petrol,Automatic,795000
Daihatsu,Mira,2016,76650,650,Petrol,Automatic,790000
Daihatsu,Mira,2016,75000,658,Petrol,Automatic,765000
Daihatsu,Mira,2016,71000,650,Petrol,Automatic,795000
Daihatsu,Mira,2016,67000,658,Petrol,Automatic,830000
Daihatsu,Mira,2016,64000,650,Petrol,Automatic,970000
Daihatsu,Mira,2016,63000,650,Petrol,Automatic,715000
Daihatsu,Mira,2016,62000,658,Petrol,Automatic,765000
Daihatsu,Mira,2016,61346,658,Petrol,Automatic,980000
Daihatsu,Mira,2016,52000,650,Petrol,Automatic,765000
Daihatsu,Mira,2016,51000,650,Petrol,Automatic,835000
Daihatsu,Mira,2016,19000,650,Petrol,Automatic,765000
Daihatsu,Move,2015,210000,658,Petrol,Automatic,700000
Daihatsu,Move,2016,120000,658,Petrol,Automatic,895000
Daihatsu,Move,2016,103000,660,Petrol,Automatic,895000
Daihatsu,Move,2016,99000,650,Petrol,Automatic,950000
Daihatsu,Move,2016,59000,658,Petrol,Automatic,865000
Daihatsu,Move,2016,56000,700,Petrol,Automatic,905000
Daihatsu,Move,2016,26000,650,Petrol,Automatic,815000
FAW,CA4256,2023,0,9726,Diesel,Manual,7087000
Ford,Escape,2012,108752,2260,Petrol,Automatic,950000
