Make,Model,Mileage,Engine_Size,Fuel_Type,Transmission,Age,Price
Audi,A3,78000,1800,Petrol,Automatic,8,2465000
Audi,A3,103000,1400,Petrol,Automatic,8,2465000
Audi,A3,95000,1500,Petrol,Automatic,1,1885000
Audi,A3,101000,1400,Petrol,Automatic,10,1680000
Audi,A3,199001,1380,Petrol,Automatic,13,1100000
Audi,A4,85000,2000,Petrol,Automatic,8,5800000
Audi,A4,96000,2000,Petrol,Automatic,8,5510000
Audi,A4,127000,2000,Petrol,Automatic,8,2965000
Audi,A4,98000,2000,Petrol,Automatic,8,2900000
Audi,A4,60949,2000,Petrol,Automatic,8,2200000
Audi,A4,142938,2000,Petrol,Automatic,10,2000000
Audi,A4,296233,1800,Petrol,Automatic,14,1200000
Audi,A4,58538,2000,Petrol,Automatic,19,970000
Audi,A5,100000,2000,Petrol,Automatic,8,4815000
Audi,A5,49000,2000,Petrol,Automatic,8,3665000
Audi,A5,58000,2000,Petrol,Automatic,8,3635000
Audi,A5,84568,2000,Petrol,Automatic,8,3390000
Audi,A6,132000,3000,Petrol,Automatic,8,5515000
Audi,A6,127330,1984,Petrol,Automatic,12,1500000
Audi,A8,20000,2500,Petrol,Automatic,11,5500000
Audi,Q2,87000,999,Petrol,Automatic,7,2615000
Audi,Q3,35000,2000,Petrol,Automatic,8,3815000
Audi,Q3,126000,1400,Petrol,Automatic,8,3300000
Audi,Q3,24000,1500,Petrol,Automatic,8,2500000
Audi,Q3,59000,1980,Petrol,Automatic,8,2115000
Audi,Q3,152648,2000,Petrol,Automatic,11,1950000
Audi,Q5,45000,2500,Petrol,Automatic,7,5400000
Audi,Q5,124000,3000,Diesel,Automatic,8,5015000
Audi,Q5,97651,2000,Petrol,Automatic,8,4900000
Audi,Q5,62000,2500,Petrol,Automatic,8,4700000
Audi,Q5,70000,2000,Petrol,Automatic,7,4700000
Audi,Q5,88000,2000,Petrol,Automatic,9,4510000
Audi,Q5,80000,2000,Petrol,Automatic,8,4450000
Audi,Q5,28000,2000,Petrol,Automatic,8,4400000
Audi,Q5,67000,2000,Petrol,Automatic,8,4215000
Audi,Q5,101000,3000,Diesel,Automatic,8,4015000
Audi,Q5,89408,2000,Diesel,Automatic,10,3900000
Audi,Q5,67000,2000,Petrol,Automatic,8,3500000
Audi,Q5,83000,2000,Petrol,Automatic,8,3480000
Audi,Q5,80000,2000,Petrol,Automatic,8,3480000
Audi,Q5,116341,2000,Petrol,Automatic,11,2900000
Audi,Q5,67000,3000,Diesel,Automatic,13,2500000
Audi,Q5,129000,2000,Petrol,Automatic,13,2500000
Audi,Q5,186000,2000,Petrol,Automatic,13,2000000
Audi,Q5,179432,2000,Petrol,Automatic,14,1480000
Audi,Q7,153000,3000,Diesel,Automatic,8,8015000
Audi,Q7,59000,3000,Diesel,Automatic,7,8015000
Audi,Q7,68000,3000,Diesel,Automatic,8,7750000
Audi,Q7,87000,3000,Diesel,Automatic,9,6815000
Audi,Q7,101000,3000,Diesel,Automatic,8,6715000
Audi,Q7,119000,2500,Petrol,Automatic,8,6500000
Audi,Q7,101000,3500,Diesel,Automatic,8,6400000
Audi,Q7,131000,3000,Diesel,Automatic,7,6265000
Audi,Q7,107000,2995,Diesel,Automatic,8,6215000
Audi,Q7,167126,3000,Diesel,Automatic,17,1800000
Audi,SQ5,109000,3000,Petrol,Automatic,8,5315000
Audi,SQ5,75000,3000,Petrol,Automatic,8,5135000
Audi,SQ5,95992,2000,Petrol,Automatic,8,4100000
Audi,SQ5,155265,2967,Diesel,Automatic,11,3500000
Bmw,116,109000,1400,Petrol,Automatic,14,900000
Bmw,116,186000,1598,Petrol,Automatic,12,890000
Bmw,118,33000,1400,Petrol,Automatic,8,3515000
Bmw,118,159000,2000,Petrol,Automatic,8,2515000
Bmw,120,50000,2000,Petrol,Automatic,8,2015000
Bmw,218,85000,1800,Petrol,Automatic,8,2650000
Bmw,218,81000,1500,Petrol,Automatic,9,1965000
Bmw,3 Series,72000,2000,Petrol,Automatic,8,3310000
Bmw,3 Series,99000,2000,Petrol,Automatic,10,3000000
Bmw,3 Series,96000,2000,Petrol,Automatic,8,2465000
Bmw,3 Series,46350,2000,Diesel,Automatic,10,2400000
Bmw,3 Series,46000,2000,Diesel,Automatic,10,2300000
